index,chrom,type_prot,start_chrom,end_chrom,gene_name,gene_biotype,gene_id,transcript_name,transcript_id,tss_id
121,2L,UTR,7529,7679,CG11023,protein_coding,FBgn0031208,CG11023-RB,FBtr0300689,TSS2643
150,2L,UTR,9839,11214,l(2)gl,protein_coding,FBgn0002121,l(2)gl-RG,FBtr0306589,TSS19483
415,2L,UTR,21823,21918,Ir21a,protein_coding,FBgn0031209,Ir21a-RB,FBtr0113008,TSS20500
420,2L,exon,21952,22941,CR43609,lincRNA,FBgn0263584,CR43609-RA,FBtr0309810,TSS19366
433,2L,UTR,25402,26520,Cda5,protein_coding,FBgn0051973,Cda5-RJ,FBtr0309229,TSS10079
685,2L,exon,65999,66242,CR45339,lincRNA,FBgn0266878,CR45339-RA,FBtr0345732,TSS12246
687,2L,exon,66318,66524,CR45340,lincRNA,FBgn0266879,CR45340-RA,FBtr0345733,TSS1131
689,2L,UTR,66482,66612,dbr,protein_coding,FBgn0067779,dbr-RF,FBtr0306539,TSS22262
772,2L,exon,71039,73642,CR44987,lincRNA,FBgn0266322,CR44987-RB,FBtr0344053,TSS10154
776,2L,UTR,71757,71804,galectin,protein_coding,FBgn0031213,galectin-RD,FBtr0306540,TSS8092
836,2L,UTR,76348,76445,CG11374,protein_coding,FBgn0031214,CG11374-RC,FBtr0306541,TSS3437
845,2L,UTR,82421,83267,net,protein_coding,FBgn0002931,net-RB,FBtr0290323,TSS10657
863,2L,UTR,94739,94851,Zir,protein_coding,FBgn0031216,Zir-RA,FBtr0078103,TSS3840
892,2L,UTR,102380,102458,CG11377,protein_coding,FBgn0031217,CG11377-RA,FBtr0078104,TSS11834
914,2L,UTR,103962,104472,Nhe1,protein_coding,FBgn0026787,Nhe1-RB,FBtr0301452,TSS10698
929,2L,UTR,106903,107000,Sam-S,protein_coding,FBgn0005278,Sam-S-RE,FBtr0089437,TSS4737
1151,2L,UTR,114726,114991,CG11455,protein_coding,FBgn0031228,CG11455-RH,FBtr0330639,TSS3452
1160,2L,UTR,115365,115712,CG13694,protein_coding,FBgn0031219,CG13694-RB,FBtr0336838,TSS9934
1174,2L,UTR,116970,117330,CG4822,protein_coding,FBgn0031220,CG4822-RE,FBtr0100307,TSS6651
1391,2L,UTR,122624,122994,CG3164,protein_coding,FBgn0025683,CG3164-RA,FBtr0078153,TSS2142
1403,2L,exon,122837,123072,CR44969,lincRNA,FBgn0266304,CR44969-RA,FBtr0344032,TSS5336
1479,2L,UTR,132077,132255,Gs1,protein_coding,FBgn0001142,Gs1-RD,FBtr0300568,TSS18065
1504,2L,exon,135402,136128,CR44185,lincRNA,FBgn0265074,CR44185-RA,FBtr0336836,TSS13664
1506,2L,exon,136144,136216,CR44186,lincRNA,FBgn0265075,CR44186-RA,FBtr0336837,TSS17527
1509,2L,UTR,138384,138590,CG31976,protein_coding,FBgn0051976,CG31976-RB,FBtr0302194,TSS3107
1510,2L,UTR,138384,138590,CG31975,protein_coding,FBgn0051975,CG31975-RC,FBtr0302196,TSS3107
1567,2L,UTR,141077,141129,CG31974,protein_coding,FBgn0051974,CG31974-RB,FBtr0300987,TSS179
1602,2L,UTR,143323,143377,CG11454,protein_coding,FBgn0031224,CG11454-RA,FBtr0078116,TSS14401
1609,2L,UTR,144231,144373,CG42399,protein_coding,FBgn0259818,CG42399-RC,FBtr0330643,TSS11085
1655,2L,UTR,153539,153676,CG3709,protein_coding,FBgn0031227,CG3709-RA,FBtr0078147,TSS12549
1761,2L,UTR,156029,156240,CG3436,protein_coding,FBgn0031229,CG3436-RC,FBtr0340650,TSS13334
1783,2L,UTR,157836,157943,CG33635,protein_coding,FBgn0053635,CG33635-RA,FBtr0091612,TSS8008
1792,2L,UTR,159032,159819,spen,protein_coding,FBgn0016977,spen-RB,FBtr0078121,TSS13332
2024,2L,UTR,203779,203869,mRpL10,protein_coding,FBgn0031231,mRpL10-RA,FBtr0078124,TSS2461
2033,2L,UTR,204743,205043,CG11617,protein_coding,FBgn0031232,CG11617-RB,FBtr0308246,TSS1421
2057,2L,UTR,207179,207511,Tbc1d15-17,protein_coding,FBgn0031233,Tbc1d15-17-RB,FBtr0332338,TSS8840
2092,2L,UTR,210735,212184,kis,protein_coding,FBgn0266557,kis-RC,FBtr0299837,TSS3975
2182,2L,exon,219651,220050,CR44220,lincRNA,FBgn0265151,CR44220-RA,FBtr0336984,TSS5832
2188,2L,exon,223519,224708,CR44222,lincRNA,FBgn0265153,CR44222-RA,FBtr0336985,TSS7080
2208,2L,exon,228037,228588,CR44221,lincRNA,FBgn0265152,CR44221-RA,FBtr0336986,TSS7935
2258,2L,exon,232166,232253,snoRNA:kis-a,snoRNA,FBgn0263465,snoRNA:kis-a-RA,FBtr0309764,TSS13587
2270,2L,UTR,232487,232571,CG13693,protein_coding,FBgn0031235,CG13693-RA,FBtr0078126,TSS12630
2319,2L,exon,243035,243141,mir-965,pre_miRNA,FBgn0262252,mir-965-RM,FBtr0304343,TSS4961
2323,2L,exon,248909,249812,CR44218,lincRNA,FBgn0265149,CR44218-RA,FBtr0336987,TSS22408
2335,2L,UTR,251039,251193,Rpp30,protein_coding,FBgn0022246,Rpp30-RB,FBtr0336990,TSS10605
2365,2L,UTR,252589,252662,CG3645,protein_coding,FBgn0031238,CG3645-RC,FBtr0336989,TSS19338
2406,2L,UTR,259949,263781,CG17075,protein_coding,FBgn0031239,CG17075-RB,FBtr0308252,TSS2210
2409,2L,exon,262203,262597,CR44219,lincRNA,FBgn0265150,CR44219-RA,FBtr0336988,TSS10977
2423,2L,UTR,269088,269191,CG3345,protein_coding,FBgn0031240,CG3345-RA,FBtr0078127,TSS18864
2438,2L,UTR,271912,271966,mbm,protein_coding,FBgn0086912,mbm-RA,FBtr0078139,TSS8365
2447,2L,UTR,273836,273985,CG11555,protein_coding,FBgn0086856,CG11555-RB,FBtr0343777,TSS6904
2461,2L,UTR,274740,274946,CG17078,protein_coding,FBgn0086855,CG17078-RD,FBtr0330649,TSS18938
2513,2L,UTR,277582,277825,smo,protein_coding,FBgn0003444,smo-RA,FBtr0078129,TSS9639
2530,2L,UTR,281670,282171,CG11601,protein_coding,FBgn0031244,CG11601-RC,FBtr0343780,TSS20305
2557,2L,UTR,283385,283885,CG3625,protein_coding,FBgn0031245,CG3625-RB,FBtr0078136,TSS588
2593,2L,UTR,287252,287401,Amnionless,protein_coding,FBgn0025686,Amnionless-RA,FBtr0078134,TSS12021
2619,2L,UTR,292419,292568,CG11562,protein_coding,FBgn0031247,CG11562-RA,FBtr0078130,TSS5763
2626,2L,UTR,292959,293621,U2af38,protein_coding,FBgn0017457,U2af38-RB,FBtr0333408,TSS17759
2646,2L,UTR,295122,295271,Hop,protein_coding,FBgn0024352,Hop-RA,FBtr0078131,TSS12070
2659,2L,UTR,297880,298403,Pi3K21B,protein_coding,FBgn0020622,Pi3K21B-RB,FBtr0331205,TSS599
2697,2L,UTR,305935,306389,Plc21C,protein_coding,FBgn0004611,Plc21C-RG,FBtr0330673,TSS21428
2706,2L,exon,308537,308842,CR43719,lincRNA,FBgn0263872,CR43719-RA,FBtr0329830,TSS1345
2744,2L,UTR,318362,318417,CG11912,protein_coding,FBgn0031248,CG11912-RA,FBtr0078099,TSS1682
2751,2L,UTR,320279,320387,CG11911,protein_coding,FBgn0031249,CG11911-RA,FBtr0078098,TSS9095
2758,2L,UTR,322101,322130,CG33127,protein_coding,FBgn0053127,CG33127-RA,FBtr0078052,TSS13455
2765,2L,UTR,325522,325870,CG43755,protein_coding,FBgn0264086,CG43755-RD,FBtr0330695,TSS2387
2793,2L,UTR,329910,329990,CG31921,protein_coding,FBgn0051921,CG31921-RA,FBtr0078096,TSS8907
2980,2L,UTR,355565,355917,Ent1,protein_coding,FBgn0031250,Ent1-RC,FBtr0330651,TSS21534
2989,2L,exon,355663,356891,CR45367,lincRNA,FBgn0266907,CR45367-RA,FBtr0345774,TSS8439
3009,2L,exon,357329,358174,CR45366,lincRNA,FBgn0266906,CR45366-RA,FBtr0345775,TSS5669
3027,2L,UTR,378112,378481,al,protein_coding,FBgn0000061,al-RA,FBtr0078053,TSS2139
3042,2L,exon,396120,396571,CR43718,lincRNA,FBgn0263871,CR43718-RA,FBtr0329831,TSS19019
3044,2L,UTR,396595,396733,CG4213,protein_coding,FBgn0031251,CG4213-RB,FBtr0331204,TSS7107
3074,2L,UTR,404285,404383,RpI135,protein_coding,FBgn0003278,RpI135-RA,FBtr0078054,TSS19394
3085,2L,UTR,408030,409387,AP-2alpha,protein_coding,FBgn0264855,AP-2alpha-RA,FBtr0089488,TSS15092
3129,2L,UTR,415067,415388,ebi,protein_coding,FBgn0263933,ebi-RA,FBtr0078055,TSS1485
3140,2L,UTR,418434,418556,CG13690,protein_coding,FBgn0031252,CG13690-RA,FBtr0078090,TSS1223
3147,2L,UTR,419952,420074,RpLP1,protein_coding,FBgn0002593,RpLP1-RA,FBtr0078056,TSS6706
3165,2L,UTR,420895,420940,CG11885,protein_coding,FBgn0031253,CG11885-RA,FBtr0078089,TSS3817
3172,2L,UTR,421771,421799,CG13692,protein_coding,FBgn0031254,CG13692-RA,FBtr0078057,TSS5670
3181,2L,UTR,422873,423451,BBS8,protein_coding,FBgn0031255,BBS8-RA,FBtr0078058,TSS4751
3194,2L,UTR,431227,431899,ex,protein_coding,FBgn0004583,ex-RB,FBtr0329832,TSS3896
3212,2L,exon,439539,440104,CR43717,lincRNA,FBgn0263870,CR43717-RA,FBtr0329833,TSS2853
3230,2L,UTR,448254,449020,crq,protein_coding,FBgn0015924,crq-RA,FBtr0078087,TSS3542
3309,2L,UTR,453108,453261,CG4164,protein_coding,FBgn0031256,CG4164-RA,FBtr0078060,TSS12048
3318,2L,exon,454754,454929,CR43080,pseudogene,FBgn0262510,CR43080-RB,FBtr0305350,TSS21106
3321,2L,UTR,455531,455800,CG4133,protein_coding,FBgn0031257,CG4133-RB,FBtr0331230,TSS1751
3380,2L,UTR,458876,460514,CG4297,protein_coding,FBgn0031258,CG4297-RC,FBtr0310034,TSS949
3398,2L,UTR,473013,473112,MED15,protein_coding,FBgn0027592,MED15-RA,FBtr0078062,TSS8054
3417,2L,UTR,476220,476331,ush,protein_coding,FBgn0003963,ush-RE,FBtr0333013,TSS8055
3423,2L,UTR,476446,476986,cbt,protein_coding,FBgn0043364,cbt-RB,FBtr0078084,TSS10677
3549,2L,UTR,540599,541168,lwr,protein_coding,FBgn0010602,lwr-RC,FBtr0310028,TSS8050
3587,2L,UTR,542786,543240,Spp,protein_coding,FBgn0031260,Spp-RA,FBtr0078080,TSS12684
3598,2L,UTR,544925,546479,Ets21C,protein_coding,FBgn0005660,Ets21C-RC,FBtr0344014,TSS17036
3601,2L,UTR,545129,545191,nAChRbeta3,protein_coding,FBgn0031261,nAChRbeta3-RA,FBtr0078064,TSS19093
3657,2L,UTR,553742,553936,rempA,protein_coding,FBgn0260933,rempA-RC,FBtr0303763,TSS6475
3691,2L,UTR,559612,559698,CG2789,protein_coding,FBgn0031263,CG2789-RA,FBtr0078066,TSS21527
3700,2L,UTR,560568,560793,CG11835,protein_coding,FBgn0031264,CG11835-RA,FBtr0078076,TSS6716
3734,2L,UTR,564163,564226,CG2794,protein_coding,FBgn0031265,CG2794-RA,FBtr0078067,TSS14363
3741,2L,UTR,566366,566425,Nle,protein_coding,FBgn0021874,Nle-RA,FBtr0078075,TSS21611
3754,2L,UTR,568340,568405,CG2807,protein_coding,FBgn0031266,CG2807-RA,FBtr0078068,TSS4590
3776,2L,UTR,573033,573205,Ipk2,protein_coding,FBgn0031267,Ipk2-RA,FBtr0078074,TSS21896
3783,2L,UTR,574291,574355,cold,protein_coding,FBgn0031268,cold-RB,FBtr0310022,TSS17720
3807,2L,UTR,575711,575776,Ptth,protein_coding,FBgn0013323,Ptth-RF,FBtr0346650,TSS20189
3838,2L,UTR,577486,577992,Pph13,protein_coding,FBgn0023489,Pph13-RA,FBtr0078070,TSS12752
3849,2L,UTR,583544,584178,Gsc,protein_coding,FBgn0010323,Gsc-RD,FBtr0343221,TSS9737
3870,2L,UTR,602813,602870,CG13689,protein_coding,FBgn0031270,CG13689-RA,FBtr0078071,TSS16116
3888,2L,exon,605914,606412,CR43648,lincRNA,FBgn0263657,CR43648-RB,FBtr0343219,TSS20739
3890,2L,exon,608340,609134,CR43649,lincRNA,FBgn0263658,CR43649-RA,FBtr0310101,TSS6018
3892,2L,UTR,620298,620432,lectin-21Cb,protein_coding,FBgn0040106,lectin-21Cb-RB,FBtr0308305,TSS3159
3899,2L,exon,623107,623665,CR44797,lincRNA,FBgn0266032,CR44797-RA,FBtr0343248,TSS19432
3901,2L,exon,623900,624323,CR44798,lincRNA,FBgn0266033,CR44798-RA,FBtr0343250,TSS1185
3903,2L,UTR,624617,624643,lectin-21Ca,protein_coding,FBgn0040107,lectin-21Ca-RA,FBtr0077998,TSS1245
3910,2L,UTR,625652,625662,CG2839,protein_coding,FBgn0031273,CG2839-RA,FBtr0077999,TSS5757
3917,2L,exon,628729,629052,CR45369,lincRNA,FBgn0266909,CR45369-RA,FBtr0345777,TSS19108
3919,2L,UTR,640013,640958,ds,protein_coding,FBgn0000497,ds-RA,FBtr0078045,TSS4362
3973,2L,exon,710568,710667,CR44988,lincRNA,FBgn0266323,CR44988-RA,FBtr0344054,TSS16130
3980,2L,UTR,728362,728507,Hsp60B,protein_coding,FBgn0011244,Hsp60B-RA,FBtr0078000,TSS17291
3987,2L,UTR,737212,738073,Eaat2,protein_coding,FBgn0026438,Eaat2-RD,FBtr0301317,TSS11173
4046,2L,UTR,749945,750400,GABA-B-R3,protein_coding,FBgn0031275,GABA-B-R3-RE,FBtr0343785,TSS438
4219,2L,exon,772514,773093,CR44614,lincRNA,FBgn0265825,CR44614-RA,FBtr0342660,TSS3428
4221,2L,UTR,773547,773594,CG12506,protein_coding,FBgn0031276,CG12506-RA,FBtr0078003,TSS19588
4228,2L,UTR,776536,776541,CG13946,protein_coding,FBgn0040725,CG13946-RA,FBtr0078004,TSS4744
4235,2L,UTR,779173,779203,CG13947,protein_coding,FBgn0031277,CG13947-RA,FBtr0078005,TSS16663
4242,2L,UTR,780482,781296,Gr21a,protein_coding,FBgn0041250,Gr21a-RA,FBtr0078006,TSS15457
4268,2L,UTR,784336,784420,CG3544,protein_coding,FBgn0031279,CG3544-RA,FBtr0078007,TSS7926
4282,2L,UTR,786153,786259,Pkg21D,protein_coding,FBgn0000442,Pkg21D-RA,FBtr0078042,TSS22724
4299,2L,exon,799856,800323,CR45259,lincRNA,FBgn0266797,CR45259-RA,FBtr0345453,TSS4959
4301,2L,UTR,810577,810645,Nnf1b,protein_coding,FBgn0051658,Nnf1b-RA,FBtr0078008,TSS11692
4314,2L,UTR,811584,811635,Dbp21E2,protein_coding,FBgn0086130,Dbp21E2-RA,FBtr0078009,TSS14491
4323,2L,UTR,813314,813456,Saf6,protein_coding,FBgn0031281,Saf6-RB,FBtr0332974,TSS23008
4353,2L,UTR,815993,816082,Pex12,protein_coding,FBgn0031282,Pex12-RB,FBtr0332972,TSS15369
4367,2L,UTR,816994,817045,CG15880,protein_coding,FBgn0031283,CG15880-RA,FBtr0078040,TSS6862
4376,2L,UTR,818079,818506,CG3876,protein_coding,FBgn0031284,CG3876-RA,FBtr0078039,TSS10986
4385,2L,UTR,819964,820078,Clp,protein_coding,FBgn0015621,Clp-RA,FBtr0078011,TSS13107
4392,2L,UTR,821289,821551,CG3662,protein_coding,FBgn0031285,CG3662-RD,FBtr0305507,TSS12632
4438,2L,UTR,824329,824432,CG3862,protein_coding,FBgn0031286,CG3862-RA,FBtr0078038,TSS7051
4445,2L,UTR,825969,826507,dock,protein_coding,FBgn0010583,dock-RD,FBtr0332973,TSS5566
4513,2L,UTR,833584,834544,drongo,protein_coding,FBgn0020304,drongo-RG,FBtr0302121,TSS1971
4590,2L,exon,850702,851163,CR44060,lincRNA,FBgn0264869,CR44060-RA,FBtr0334793,TSS8245
4592,2L,UTR,851251,851442,CG4291,protein_coding,FBgn0031287,CG4291-RB,FBtr0334797,TSS22412
4620,2L,UTR,852768,852935,kraken,protein_coding,FBgn0020545,kraken-RA,FBtr0078016,TSS14775
4642,2L,UTR,855337,855549,CG13949,protein_coding,FBgn0031288,CG13949-RA,FBtr0078017,TSS1649
4675,2L,exon,857403,857795,CR45345,lincRNA,FBgn0266884,CR45345-RA,FBtr0345741,TSS18096
4677,2L,exon,857542,857632,mir-375,pre_miRNA,FBgn0262177,mir-375-RM,FBtr0304182,TSS23007
4681,2L,UTR,860309,860320,CG13950,protein_coding,FBgn0031289,CG13950-RA,FBtr0078018,TSS8345
4692,2L,UTR,861849,862165,aru,protein_coding,FBgn0029095,aru-RA,FBtr0078033,TSS18731
4739,2L,exon,865366,865493,snoRNA:Me28S-U1230,snoRNA,FBgn0086031,snoRNA:Me28S-U1230-RA,FBtr0114307,TSS15485
4747,2L,UTR,868673,868738,dbe,protein_coding,FBgn0020305,dbe-RA,FBtr0078030,TSS621
4754,2L,UTR,870465,870552,PNUTS,protein_coding,FBgn0053526,PNUTS-RE,FBtr0332000,TSS1597
4816,2L,UTR,877172,878280,CG15824,protein_coding,FBgn0031292,CG15824-RC,FBtr0345634,TSS10020
4819,2L,UTR,877302,877361,ninaA,protein_coding,FBgn0002936,ninaA-RA,FBtr0078023,TSS19659
4895,2L,exon,897453,898050,CR45348,lincRNA,FBgn0266887,CR45348-RA,FBtr0345739,TSS22758
4897,2L,UTR,898500,898731,Lsp1beta,protein_coding,FBgn0002563,Lsp1beta-RB,FBtr0345738,TSS1141
4915,2L,exon,901491,901654,snRNA:U1:21D,snRNA,FBgn0003916,snRNA:U1:21D-RA,FBtr0078028,TSS18294
4917,2L,exon,904029,904347,CR45261,lincRNA,FBgn0266799,CR45261-RA,FBtr0345455,TSS10722
4919,2L,exon,912981,913305,CR44061,lincRNA,FBgn0264870,CR44061-RA,FBtr0334798,TSS22483
4921,2L,UTR,914086,914197,GluRIIC,protein_coding,FBgn0046113,GluRIIC-RD,FBtr0336969,TSS5903
4948,2L,UTR,922793,923219,CG4341,protein_coding,FBgn0028481,CG4341-RA,FBtr0077949,TSS4473
5000,2L,exon,987899,989104,CR44801,lincRNA,FBgn0266036,CR44801-RA,FBtr0343253,TSS13734
5004,2L,UTR,1008378,1013952,IA-2,protein_coding,FBgn0031294,IA-2-RD,FBtr0301417,TSS4612
5067,2L,UTR,1026105,1026275,CG4375,protein_coding,FBgn0031295,CG4375-RA,FBtr0077997,TSS2067
5086,2L,UTR,1037246,1037378,CG4415,protein_coding,FBgn0031296,CG4415-RB,FBtr0301087,TSS2011
5110,2L,UTR,1049674,1052037,S,protein_coding,FBgn0003310,S-RB,FBtr0077993,TSS5889
5140,2L,UTR,1077948,1078034,ast,protein_coding,FBgn0015905,ast-RA,FBtr0077952,TSS1296
5151,2L,UTR,1080911,1081243,Atg4a,protein_coding,FBgn0031298,Atg4a-RA,FBtr0077953,TSS18016
5181,2L,UTR,1083091,1084018,CG4629,protein_coding,FBgn0031299,CG4629-RE,FBtr0332570,TSS20013
5225,2L,UTR,1103254,1103690,mtRNApol,protein_coding,FBgn0261938,mtRNApol-RB,FBtr0332273,TSS18449
5267,2L,UTR,1108540,1108700,CG14339,protein_coding,FBgn0031301,CG14339-RA,FBtr0077954,TSS4759
5286,2L,UTR,1112941,1112987,CG14340,protein_coding,FBgn0031302,CG14340-RA,FBtr0077955,TSS17883
5299,2L,UTR,1114654,1115733,Pino,protein_coding,FBgn0016926,Pino-RB,FBtr0077987,TSS10355
5341,2L,UTR,1129316,1129488,CG4552,protein_coding,FBgn0031304,CG4552-RA,FBtr0077956,TSS5013
5352,2L,UTR,1132332,1132477,Iris,protein_coding,FBgn0031305,Iris-RA,FBtr0077986,TSS20853
5359,2L,UTR,1134693,1134858,CG4577,protein_coding,FBgn0031306,CG4577-RA,FBtr0077957,TSS20666
5389,2L,exon,1142869,1143216,CR45717,lincRNA,FBgn0267281,CR45717-RA,FBtr0346497,TSS6953
5391,2L,UTR,1143201,1143370,MFS3,protein_coding,FBgn0031307,MFS3-RA,FBtr0077958,TSS2683
5404,2L,UTR,1147822,1147864,CG4749,protein_coding,FBgn0031308,CG4749-RA,FBtr0077959,TSS10821
5411,2L,UTR,1149445,1149513,Tfb4,protein_coding,FBgn0031309,Tfb4-RA,FBtr0077985,TSS697
5426,2L,UTR,1150766,1150862,Vps29,protein_coding,FBgn0031310,Vps29-RA,FBtr0077960,TSS7423
5433,2L,UTR,1151678,1152031,capt,protein_coding,FBgn0261458,capt-RA,FBtr0100022,TSS19098
5482,2L,exon,1158576,1159355,CR43767,lincRNA,FBgn0264267,CR43767-RA,FBtr0331290,TSS22837
5484,2L,UTR,1158661,1158782,Tango14,protein_coding,FBgn0031312,Tango14-RB,FBtr0331287,TSS868
5504,2L,UTR,1160290,1160443,CG5080,protein_coding,FBgn0031313,CG5080-RA,FBtr0077982,TSS15826
5547,2L,UTR,1164443,1164539,IntS14,protein_coding,FBgn0031314,IntS14-RA,FBtr0077962,TSS984
5556,2L,UTR,1166506,1166559,CG14341,protein_coding,FBgn0031315,CG14341-RB,FBtr0077964,TSS5588
5565,2L,UTR,1167172,1167242,Plap,protein_coding,FBgn0024314,Plap-RA,FBtr0077980,TSS14571
5604,2L,UTR,1170181,1170233,CG31922,protein_coding,FBgn0051922,CG31922-RA,FBtr0077965,TSS2935
5615,2L,UTR,1170753,1170792,CG5118,protein_coding,FBgn0031317,CG5118-RA,FBtr0077979,TSS2582
5630,2L,UTR,1173009,1173200,CG4887,protein_coding,FBgn0031318,CG4887-RB,FBtr0331288,TSS20839
5688,2L,UTR,1177690,1177861,CG4896,protein_coding,FBgn0031319,CG4896-RI,FBtr0335394,TSS1552
5829,2L,UTR,1182297,1182494,CG5126,protein_coding,FBgn0031320,CG5126-RA,FBtr0077978,TSS791
5838,2L,UTR,1184065,1184165,Tgt,protein_coding,FBgn0031321,Tgt-RA,FBtr0077971,TSS12835
5847,2L,UTR,1185757,1186015,CG5001,protein_coding,FBgn0031322,CG5001-RB,FBtr0307056,TSS20286
